Price,Room,Bathroom,BuildingArea,TotalArea,Parking,Latitude,Longitude
111556268,3,2,63.0,107.0,2,-33.582,-70.692
162355500,3,3,80.0,156.0,2,-33.2833,-70.8778
396869000,4,3,142.0,277.0,2,-33.4833,-70.55
579753451,6,2,157.0,408.0,6,-33.2773,-70.6106
559224500,4,3,200.0,648.0,4,-33.2773,-70.6106
75000000,3,1,43.0,198.0,2,-33.688,-71.2113
143000000,4,2,160.0,300.0,2,-33.4037,-70.64
205000000,7,3,161.0,185.0,0,-33.4624,-70.6491
240000000,5,3,190.0,250.0,1,-33.4624,-70.6491
250749050,3,3,112.0,240.0,2,-33.727,-70.7046
577264000,3,2,140.0,310.0,2,-33.3867,-70.5688
98000000,2,1,88.0,120.0,1,-33.422,-70.72
150000000,3,2,80.0,160.0,2,-33.5167,-70.7667
129884400,3,2,70.0,116.0,1,-33.727,-70.7046
187610800,3,2,100.0,220.0,1,-33.1829,-70.6747
53000000,2,1,64.0,62.0,1,-33.5167,-70.7667
166000000,3,3,101.0,176.0,2,-33.5167,-70.6389
72000000,4,1,145.0,179.0,0,-33.4274,-70.4843
384962930,3,3,128.0,345.0,2,-33.4833,-70.55
487066500,5,4,200.0,336.0,2,-33.4088,-70.5671
721580000,4,3,180.0,185.0,0,-33.3867,-70.5688
422088221,4,4,200.0,150.0,0,-33.443,-70.532
231843654,3,3,200.0,200.0,0,-33.3667,-70.7333
450987500,6,4,230.0,413.0,0,-33.2773,-70.6106
160000000,3,2,170.0,170.0,0,-33.4624,-70.6491
63000000,4,1,65.0,88.0,0,-33.35,-70.6
95000000,6,1,83.0,83.0,0,-33.4088,-70.5671
120000000,3,2,94.0,120.0,0,-33.2833,-70.8778
68000000,4,1,64.0,64.0,0,-33.4333,-70.7167
135000000,3,2,90.0,140.0,0,-33.5719,-70.8068
60000000,2,1,52.0,63.0,0,-33.349,-70.6383
128000000,6,2,77.0,120.0,2,-33.3667,-70.7333
470000000,3,2,130.0,306.0,2,-33.4088,-70.5671
220000000,3,1,120.0,120.0,2,-33.4037,-70.64
321103100,4,2,140.0,140.0,2,-33.2833,-70.8778
129884400,3,3,111.0,240.0,2,-33.2833,-70.8778
216474000,3,3,115.0,227.0,3,-33.4333,-70.7167
176426310,2,2,86.0,86.0,1,-33.3641,-70.6134
378468710,3,3,135.0,135.0,2,-33.1829,-70.6747
342750500,3,3,130.0,380.0,2,-33.1829,-70.6747
342750500,3,3,130.0,380.0,2,-33.1829,-70.6747
429340100,5,4,140.0,358.0,0,-33.4833,-70.55
775698500,4,4,400.0,800.0,8,-33.443,-70.532
193022650,3,3,115.0,123.0,0,-33.5167,-70.7667
129162820,4,3,90.0,121.0,0,-33.5167,-70.7667
300000000,9,3,400.0,440.0,0,-33.2642,-70.715
221958008,3,3,115.0,220.0,0,-33.4333,-70.7167
302666731,4,3,180.0,610.0,0,-33.4333,-70.7167
600000000,4,2,800.0,800.0,1,-33.5167,-70.6389
181585607,3,3,82.0,118.0,1,-33.5167,-70.7667
465419100,5,4,380.0,380.0,0,-33.1829,-70.6747
138904150,3,2,78.0,78.0,0,-33.1829,-70.6747
638598300,3,2,140.0,334.0,2,-33.35,-70.6
173179200,3,1,120.0,195.0,2,-33.2773,-70.6106
320000000,6,3,184.0,287.0,2,-33.4088,-70.5671
170000000,3,2,98.0,254.0,0,-33.6167,-70.5667
78000000,3,1,110.0,110.0,0,-33.5719,-70.8068
103990000,3,1,84.0,81.0,0,-33.6167,-70.5667
100000000,5,1,90.0,162.0,0,-33.4333,-70.7167
135000000,3,3,85.0,120.0,0,-33.6167,-70.5667
180500000,3,3,93.0,188.0,0,-33.6167,-70.5667
168500000,3,3,93.0,188.0,0,-33.6167,-70.5667
450987500,7,5,600.0,670.0,1,-33.5007,-70.6514
119060700,3,1,78.0,180.0,0,-33.4037,-70.64
155139700,4,3,93.0,185.0,1,-33.727,-70.7046
125000000,3,1,80.0,190.0,1,-33.45,-70.7
278710275,3,3,93.0,93.0,1,-33.443,-70.532
139000000,4,3,100.0,175.0,2,-33.5167,-70.6389
162355500,3,3,100.0,126.0,1,-33.6167,-70.5667
198434500,4,2,110.0,320.0,2,-33.582,-70.692
159829970,4,3,121.0,229.0,3,-33.45,-70.7
173179200,4,3,140.0,170.0,2,-33.2833,-70.8778
299960806,7,2,240.0,602.0,4,-33.368,-70.642
288271210,4,3,138.0,254.0,2,-33.5167,-70.6389
