Price,Room,Bathroom,BuildingArea,TotalArea,Parking,Latitude,Longitude
130000000,3,3.0,76.0,135.0,1.0,-33.2833,-70.8778
159000000,3,3.0,85.0,130.0,4.0,-33.6167,-70.5667
160404130,5,2.0,78.0,129.0,2.0,-33.5167,-70.6389
80433400,3,1.0,52.0,76.0,2.0,-33.6167,-70.5667
90000000,3,2.0,80.0,120.0,2.0,-33.6167,-70.5667
75000000,2,1.0,50.0,85.0,1.0,-33.6167,-70.5667
150000000,5,2.0,105.0,128.0,1.0,-33.5167,-70.6389
65000000,2,1.0,50.0,50.0,0.0,-33.5167,-70.7667
145919000,3,2.0,68.0,130.0,2.0,-33.5167,-70.6389
117660540,3,2.0,84.0,134.0,2.0,-33.688,-71.2113
170000000,3,3.0,97.0,137.0,1.0,-33.6167,-70.5667
173000000,4,3.0,117.0,140.0,2.0,-33.5167,-70.7667
130000000,3,3.0,72.0,76.0,2.0,-33.6167,-70.5667
61000000,2,1.0,98.0,45.0,1.0,-33.727,-70.7046
160190590,4,2.0,86.0,141.0,2.0,-33.6167,-70.5667
80468990,3,1.0,70.0,105.0,1.0,-33.7843,-70.7217
74000000,3,1.0,60.0,105.0,0.0,-33.7843,-70.7217
73706890,3,1.0,70.0,105.0,0.0,-33.7843,-70.7217
55000001,2,1.0,80.0,80.0,1.0,-33.6167,-70.5667
80682530,2,1.0,65.0,66.0,1.0,-33.6167,-70.5667
133106600,3,2.0,82.0,120.0,0.0,-33.6167,-70.5667
68000000,2,1.0,68.0,70.0,0.0,-33.3667,-70.7333
134245480,3,2.0,70.0,113.0,4.0,-33.5167,-70.7667
100933240,4,2.0,93.0,115.0,2.0,-33.5167,-70.6389
201261450,4,3.0,101.0,149.0,3.0,-33.6167,-70.5667
100000000,2,1.0,74.0,74.0,0.0,-33.2468,-70.625
152681100,3,3.0,107.0,147.0,2.0,-33.5167,-70.7667
124565000,2,1.0,70.0,120.0,1.0,-33.2468,-70.625
125000000,4,2.0,104.0,126.0,2.0,-33.5167,-70.7667
109000000,2,1.0,76.0,128.0,0.0,-33.6167,-70.5667
115000000,3,3.0,62.0,126.0,6.0,-33.5719,-70.8068
213540000,4,4.0,80.0,120.0,1.0,-33.6167,-70.5667
42352100,2,1.0,55.0,72.0,0.0,-33.6167,-70.5667
176170500,4,2.0,130.0,114.0,0.0,-33.452,-70.723
191830100,3,3.0,84.0,145.0,2.0,-33.452,-70.723
140580500,4,3.0,120.0,140.0,1.0,-33.582,-70.692
99000000,4,2.0,110.0,110.0,2.0,-33.6167,-70.5667
64000000,3,1.0,80.0,66.0,0.0,-33.5667,-70.7167
103000000,3,2.0,62.0,100.0,0.0,-33.5719,-70.8068
97000000,3,2.0,76.0,135.0,1.0,-33.5167,-70.6389
68000000,3,1.0,65.0,120.0,1.0,-33.3667,-70.7333
201083500,3,2.0,77.0,128.0,3.0,-33.3667,-70.7333
98000000,2,1.0,140.0,83.0,0.0,-33.3667,-70.7333
88000000,3,1.0,86.0,98.0,2.0,-33.5167,-70.7667
78298000,3,1.0,44.0,76.0,0.0,-33.727,-70.7046
56000000,3,1.0,42.0,42.0,2.0,-33.6167,-70.5667
